word,occurence
direction,13
apart,13
their,13
nasty,13
upstairs,13
appeared,13
tail,13
true,13
wild,13
carefully,13
ago,13
pink,13
ball,13
playing,13
walking,13
questions,13
quiet,13
case,13
hit,13
body,13
bin,13
screamed,13
running,13
post,13
shaking,13
deep,13
six,13
package,13
box,13
quietly,13
expelled,13
dragons,13
smiled,13
free,13
pile,13
brooms,13
says,13
show,13
added,13
hedwig,13
gryffindors,13
lessons,13
turban,13
norris,13
seeker,13
fifty,13
curse,12
somehow,12
magical,12
friend,12
hold,12
potters,12
story,12
important,12
walk,12
buy,12
finished,12
pull,12
explain,12
expected,12
dare,12
tall,12
beard,12
blue,12
broken,12
real,12
odd,12
late,12
live,12
written,12
forehead,12
birthday,12
knees,12
difficult,12
grabbed,12
easy,12
hurry,12
out,12
closer,12
days,12
leaving,12
smell,12
heavy,12
line,12
lying,12
with,12
journey,12
witch,12
scared,12
wands,12
hole,12
worry,12
row,12
hanging,12
key,12
griphook,12
leant,12
hung,12
leaves,12
weasleys,12
ears,12
path,12
teacher,12
eye,12
hooch,12
staircase,12
break,12
tower,12
crate,12
bludgers,12
chess,12
baby,11
may,11
alive,11
underneath,11
quick,11
although,11
spent,11
possible,11
grey,11
none,11
hoping,11
edge,11
probably,11
changed,11
spotted,11
hundreds,11
nervously,11
decided,11
me.,11
crept,11
purple,11
busy,11
sharp,11
only,11
shot,11
broke,11
cried,11
known,11
landed,11
minute,11
usually,11
rose,11
rolled,11
racing,11
listening,11
locked,11
families,11
fall,11
shock,11
food,11
very,11
nobody,11
glad,11
burst,11
stick,11
foot,11
clearly,11
earth,11
rock,11
boat,11
chance,11
steal,11
bottle,11
touch,11
girl,11
anythin,11
goblin,11
ones,11
inches,11
clapped,11
goes,11
jordan,11
brothers,11
card,11
master,11
classroom,11
duel,11
through,11
ordinary,10
win,10
fear,10
woke,10
chair,10
realise,10
jerked,10
young,10
opposite,10
worried,10
learnt,10
whether,10
slipped,10
sit,10
careful,10
nodded,10
size,10
cut,10
furiously,10
step,10
luck,10
happen,10
knowing,10
pulling,10
stairs,10
hidden,10
unless,10
crash,10
egg,10
horror,10
lady,10
reminded,10
relief,10
surprise,10
bought,10
entrance,10
windows,10
death,10
waved,10
coat,10
smeltings,10
carried,10
breakfast,10
mistake,10
eat,10
wondering,10
tomorrow,10
storm,10
agreed,10
sofa,10
did,10
wonder,10
sounded,10
indeed,10
outta,10
job,10
powerful,10
remembered,10
umbrella,10
die,10
lock,10
station,10
ticket,10
leaky,10
interesting,10
cross,10
lee,10
prefect,10
ravenclaw,10
draco,10
lesson,10
save,10
plant,10
dangerous,9
list,9
dunno,9
normal,9
son,9
keeping,9
noticing,9
single,9
whatever,9
news,9
stars,9
carrying,9
kind,9
least,9
gets,9
about,9
neither,9
bowed,9
power,9
golden,9
now.,9
sweets,9
wake,9
business,9
balls,9
silent,9
weeks,9
dream,9
television,9
hated,9
question,9
needed,9
pig,9
presents,9
parcel,9
change,9
cry,9
laughed,9
brown,9
wind,9
fly,9
starting,9
slid,9
holidays,9
wandering,9
flat,9
water,9
envelope,9
bill,9
parchment,9
fight,9
ear,9
following,9
working,9
meant,9
pieces,9
knock,9
drink,9
twin,9
drew,9
jus,9
teeth,9
on.,9
afraid,9
some,9
have,9
giving,9
steps,9
stuck,9
facing,9
potion,9
vault,9
narrow,9
brother,9
king,9
trunk,9
compartment,9
hang,9
eating,9
footsteps,9
joined,9
dormitory,9
lead,9
bloody,9
baron,9
invisible,9
slytherins,9
clearing,9
stands,9
bludger,9
norwegian,9
ridgeback,9
exams,9
means,8
hissed,8
thank,8
throwing,8
shake,8
clothes,8
couple,8
sped,8
bag,8
lots,8
mention,8
spot,8
living-room,8
whisper,8
lips,8
while,8
awake,8
tight,8
notice,8
seems,8
certainly,8
care,8
person,8
them.,8
less,8
swallowed,8
motorbike,8
simply,8
poor,8
hours,8
lit,8
often,8
asking,8
wants,8
worth,8
figg,8
snarled,8
crying,8
warning,8
force,8
jumper,8
become,8
jump,8
wished,8
sometimes,8
rushed,8
summer,8
toilet,8
cake,8
notes,8
trembling,8
sighed,8
piece,8
damp,8
halfway,8
fun,8
sea,8
led,8
wooden,8
twenty,8
knocking,8
breaking,8
pockets,8
interested,8
wanting,8
faded,8
witches,8
some-,8
teach,8
bottom,8
looks,8
arts,8
brilliant,8
twisted,8
marble,8
hate,8
stool,8
excuse,8
wing,8
nostrils,8
laughing,8
loads,8
frogs,8
grass,8
corridors,8
longbottom,8
dean,8
remembrall,8
branches,8
rules,8
reflection,8
knight,8
shows,8
figure,8
wizarding,7
ghosts,7
wizardry,7
spells,7
useful,7
anywhere,7
road,7
dressed,7
harder,7
angrily,7
clutching,7
grunted,7
stranger,7
was,7
yesterday,7
shocked,7
sharply,7
peered,7
showing,7
slammed,7
swooped,7
silently,7
chuckled,7
clicked,7
darkness,7
here.,7
fine,7
sounding,7
pressed,7
lily,7
know.,7
moving,7
surprised,7
him.,7
trust,7
shoulders,7
kicked,7
shall,7
